namespace,name,pod_selector
local-cluster-development,kas,app=kube-apiserver,27h
local-cluster-development,management-kas,!hypershift.openshift.io/need-management-kas-access,name,notin,(aws-ebs-csi-driver-operator),27h
local-cluster-development,openshift-ingress,<none>,27h
local-cluster-development,openshift-monitoring,<none>,27h
local-cluster-development,private-router,app=private-router,27h
local-cluster-development,same-namespace,<none>,27h
nett-policy,deny-all-ingress-to-target-pod,app=target-pod,28m
openshift-gitops,openshift-gitops-redis-ha-network-policy,app.kubernetes.io/name=openshift-gitops-redis-ha-haproxy,27h
openshift-gitops,openshift-gitops-redis-network-policy,app.kubernetes.io/name=openshift-gitops-redis,27h
stackrox,admission-control-no-ingress,app=admission-control,27h
stackrox,allow-ext-to-central,app=central,27h
stackrox,central-db,app=central-db,27h
stackrox,central-monitoring-tls,app=central,27h
stackrox,collector-no-ingress,app=collector,27h
stackrox,scanner,app=scanner,27h
stackrox,scanner-db,app=scanner-db,27h
stackrox,scanner-v4-db,app=scanner-v4-db,27h
stackrox,scanner-v4-indexer,app=scanner-v4-indexer,27h
stackrox,scanner-v4-indexer-monitoring-tls,app=scanner-v4-indexer,27h
stackrox,scanner-v4-matcher,app=scanner-v4-matcher,27h
stackrox,scanner-v4-matcher-monitoring-tls,app=scanner-v4-matcher,27h
stackrox,sensor,app=sensor,27h
stackrox,sensor-monitoring-tls,app=sensor,27h
